['./solve_sudoku.py', 'rows.cnf']
Iterations: 317, satisfied = 3067, out of 3078 
Iterations: 318, satisfied = 3067, out of 3078 
Iterations: 319, satisfied = 3068, out of 3078 
Iterations: 320, satisfied = 3068, out of 3078 
Iterations: 321, satisfied = 3069, out of 3078 
Iterations: 322, satisfied = 3069, out of 3078 
Iterations: 323, satisfied = 3069, out of 3078 
Iterations: 324, satisfied = 3070, out of 3078 
Iterations: 325, satisfied = 3070, out of 3078 
Iterations: 326, satisfied = 3071, out of 3078 
Iterations: 327, satisfied = 3071, out of 3078 
Iterations: 328, satisfied = 3071, out of 3078 
Iterations: 329, satisfied = 3071, out of 3078 
Iterations: 330, satisfied = 3071, out of 3078 
Iterations: 331, satisfied = 3072, out of 3078 
Iterations: 332, satisfied = 3073, out of 3078 
Iterations: 333, satisfied = 3073, out of 3078 
Iterations: 334, satisfied = 3073, out of 3078 
Iterations: 335, satisfied = 3073, out of 3078 
Iterations: 336, satisfied = 3073, out of 3078 
Iterations: 337, satisfied = 3073, out of 3078 
Iterations: 338, satisfied = 3073, out of 3078 
Iterations: 339, satisfied = 3073, out of 3078 
Iterations: 340, satisfied = 3073, out of 3078 
Iterations: 341, satisfied = 3073, out of 3078 
Iterations: 342, satisfied = 3073, out of 3078 
Iterations: 343, satisfied = 3073, out of 3078 
Iterations: 344, satisfied = 3073, out of 3078 
Iterations: 345, satisfied = 3073, out of 3078 
Iterations: 346, satisfied = 3073, out of 3078 
Iterations: 347, satisfied = 3073, out of 3078 
Iterations: 348, satisfied = 3074, out of 3078 
Iterations: 349, satisfied = 3074, out of 3078 
Iterations: 350, satisfied = 3075, out of 3078 
Iterations: 351, satisfied = 3075, out of 3078 
Iterations: 352, satisfied = 3076, out of 3078 
Iterations: 353, satisfied = 3076, out of 3078 
Iterations: 354, satisfied = 3076, out of 3078 
Iterations: 355, satisfied = 3076, out of 3078 
Iterations: 356, satisfied = 3076, out of 3078 
Iterations: 357, satisfied = 3076, out of 3078 
Iterations: 358, satisfied = 3076, out of 3078 
Iterations: 359, satisfied = 3076, out of 3078 
Iterations: 360, satisfied = 3077, out of 3078 
Iterations: 361, satisfied = 3077, out of 3078 
Iterations: 362, satisfied = 3077, out of 3078 
Iterations: 363, satisfied = 3077, out of 3078 
Iterations: 364, satisfied = 3077, out of 3078 
Iterations: 365, satisfied = 3077, out of 3078 
Iterations: 366, satisfied = 3077, out of 3078 
Iterations: 367, satisfied = 3077, out of 3078 
Iterations: 368, satisfied = 3077, out of 3078 
Iterations: 369, satisfied = 3077, out of 3078 
Iterations: 370, satisfied = 3077, out of 3078 
Iterations: 371, satisfied = 3077, out of 3078 
Iterations: 372, satisfied = 3077, out of 3078 
Iterations: 373, satisfied = 3077, out of 3078 
Iterations: 374, satisfied = 3077, out of 3078 
Iterations: 375, satisfied = 3078, out of 3078 
Loaded Sudoku solution from file: rows.sol 
4 2 1 | 9 3 5 | 6 7 8 
7 5 4 | 9 6 2 | 1 8 3 
4 2 9 | 7 1 8 | 3 5 6 
---------------------
8 4 3 | 1 2 9 | 6 7 5 
6 7 5 | 8 1 2 | 9 3 4 
1 7 3 | 5 8 6 | 9 4 2 
---------------------
4 6 3 | 7 8 2 | 9 1 5 
4 3 7 | 2 8 1 | 9 6 5 
8 3 7 | 6 2 9 | 5 4 1 

         7877049 function calls in 6.260 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.260    6.260 ./solve_sudoku.py:39(test_walksat)
        1    0.007    0.007    6.245    6.245 /workspace/personal/python/cs76/PA5/SAT.py:194(walksat)
     1067    4.180    0.004    6.221    0.006 /workspace/personal/python/cs76/PA5/SAT.py:63(satisfied_clauses)
      251    0.005    0.000    3.958    0.016 /workspace/personal/python/cs76/PA5/SAT.py:129(walksat_highest_variable)
  4481435    1.178    0.000    1.178    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:39(__getitem__)
  3287679    0.848    0.000    0.848    0.000 {method 'split' of 'str' objects}
    82047    0.018    0.000    0.018    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.013    0.013 /workspace/personal/python/cs76/PA5/SAT.py:23(__init__)
        1    0.008    0.008    0.013    0.013 /workspace/personal/python/cs76/PA5/SAT.py:38(initialize)
      750    0.001    0.000    0.005    0.000 /usr/local/lib/python3.7/random.py:256(choice)
     1479    0.003    0.000    0.004    0.000 /usr/local/lib/python3.7/random.py:224(_randbelow)
      376    0.001    0.000    0.003    0.000 /workspace/personal/python/cs76/PA5/erratum.py:50(log_debug_info)
        1    0.000    0.000    0.003    0.003 /workspace/personal/python/cs76/PA5/SAT.py:58(random_assign)
      729    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/random.py:218(randint)
      379    0.002    0.000    0.002    0.000 {built-in method builtins.print}
     7290    0.002    0.000    0.002    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:77(__contains__)
     3893    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      729    0.001    0.000    0.002    0.000 /usr/local/lib/python3.7/random.py:174(randrange)
     2810    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.001    0.001    0.001    0.001 /workspace/personal/python/cs76/PA5/SAT.py:237(write_solution)
     1504    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 /workspace/personal/python/cs76/PA5/display.py:4(display_sudoku_solution)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:65(read_solution)
     1479    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      729    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:35(__setitem__)
      375    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      729    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      729    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:45(get_key)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      377    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/erratum.py:18(__text_color)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:101(__str__)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/codecs.py:319(decode)
        8    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
