['./solve_sudoku.py', 'all_cells.cnf']
8 4 3 | 3 6 9 | 4 9 3 

         4753373 function calls in 3.790 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.790    3.790 ./solve_sudoku.py:39(test_walksat)
        1    0.006    0.006    3.774    3.774 /workspace/personal/python/cs76/PA5/SAT.py:194(walksat)
      660    2.522    0.004    3.754    0.006 /workspace/personal/python/cs76/PA5/SAT.py:63(satisfied_clauses)
      189    0.003    0.000    2.106    0.011 /workspace/personal/python/cs76/PA5/SAT.py:129(walksat_highest_variable)
  2670481    0.716    0.000    0.716    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:39(__getitem__)
  1981298    0.500    0.000    0.500    0.000 {method 'split' of 'str' objects}
    78987    0.018    0.000    0.018    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.015    0.015 /workspace/personal/python/cs76/PA5/SAT.py:23(__init__)
        1    0.008    0.008    0.015    0.015 /workspace/personal/python/cs76/PA5/SAT.py:38(initialize)
     1291    0.002    0.000    0.004    0.000 /usr/local/lib/python3.7/random.py:224(_randbelow)
      562    0.001    0.000    0.003    0.000 /usr/local/lib/python3.7/random.py:256(choice)
        1    0.000    0.000    0.003    0.003 /workspace/personal/python/cs76/PA5/SAT.py:58(random_assign)
      729    0.000    0.000    0.003    0.000 /usr/local/lib/python3.7/random.py:218(randint)
      282    0.001    0.000    0.003    0.000 /workspace/personal/python/cs76/PA5/erratum.py:50(log_debug_info)
      729    0.001    0.000    0.002    0.000 /usr/local/lib/python3.7/random.py:174(randrange)
     6561    0.002    0.000    0.002    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:77(__contains__)
     3467    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      285    0.002    0.000    0.002    0.000 {built-in method builtins.print}
     2469    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.001    0.001    0.001    0.001 /workspace/personal/python/cs76/PA5/SAT.py:237(write_solution)
     1128    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/display.py:4(display_sudoku_solution)
      729    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:35(__setitem__)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:65(read_solution)
     1291    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      281    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      729    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      729    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:45(get_key)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      283    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/erratum.py:18(__text_color)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:101(__str__)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/codecs.py:319(decode)
        8    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       81    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:54(set)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/random.py:97(seed)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/_bootlocale.py:33(getpreferredencoding)
       81    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:47(get)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:17(__init__)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/Sudoku.py:23(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fcd6088ad90}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/erratum.py:39(log_info)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /workspace/personal/python/cs76/PA5/TwoWayDict.py:21(__init__)



